,,,,,Tarikh,Bil Sembuh,,Tarikh,Bil Kes,
,,,,,23.03.2021,46,,23.03.2021,65,
,,,,,24.03.2021,44,,24.03.2021,49,
,,,,,25.03.2021,20,,25.03.2021,63,
,,,,,26.03.2021,33,,26.03.2021,86,
,,,,,27.03.2021,25,,27.03.2021,138,
,,,,,28.03.2021,61,,28.03.2021,34,
,,,,,29.03.2021,39,,29.03.2021,48,
,,,,,30.03.2021,32,,30.03.2021,44,
,,,,,31.03.2021,58,,31.03.2021,58,
,,,,,01.04.2021,55,,01.04.2021,27,
,,,,,02.04.2021,68,,02.04.2021,66,
,,,,,03.04.2021,98,,03.04.2021,64,
,,,,,04.04.2021,100,,04.04.2021,18,
,,,,,05.04.2021,40,,05.04.2021,31,
,,,,,06.04.2021,59,,06.04.2021,126,
,,,,,07.04.2021,52,,07.04.2021,38,
,,,,,08.04.2021,43,,08.04.2021,86,
,,,,,09.04.2021,23,,09.04.2021,143,
,,,,,10.04.2021,41,,10.04.2021,171,
,,,,,11.04.2021,38,,11.04.2021,98,
,,,,,12.04.2021,29,,12.04.2021,58,
,,,,,13.04.2021,83,,13.04.2021,103,
,,,,,14.04.2021,104,,14.04.2021,226,
,,,,,15.04.2021,62,,15.04.2021,221,
,,,,,16.04.2021,84,,16.04.2021,165,
,,,,,17.04.2021,101,,17.04.2021,225,
,,,,,18.04.2021,163,,18.04.2021,332,
Row Labels,Count of Nama,,,,19.04.2021,85,,19.04.2021,290,
Bachok,691,,,,20..04.2021,132,,20..04.2021,429,
Gua Musang,255,,,,21.04.2021,236,,21.04.2021,370,
Jeli,142,,,,22.04.2021,119,,22.04.2021,662,
Kota Bharu,4304,,,,Jumlah,2173,,Jumlah,4534,
Kuala Krai,547,,,,,,,,,
Kuala Krai ,15,,,,,,,,,
Machang,810,,,,,,,,,
Pasir Mas,1091,,,,,,,,,
Pasir Puteh,424,,,,,,,,,
Tanah Merah,1020,,,,,,,,,
Tumpat,900,,,,,,,,,
(blank),,,,,,,,,,
Grand Total,10199,,,,,,,,,
